Country	Paper Count
united states	15695
germany	5101
united kingdom	5462
italy	1454
cambodia	17
taiwan	1275
india	2042
sweden	952
greece	340
mexico	149
costa rica	44
spain	1421
netherlands	817
denmark	646
thailand	120
china	5053
vietnam	178
korea	628
japan	4174
singapore	898
iran	159
austria	179
canada	2162
hong kong	646
france	3557
poland	275
belgium	543
australia	1241
brazil	383
egypt	124
czechia	32
iceland	50
indonesia	69
philippines	81
ireland	1081
estonia	97
switzerland	642
latvia	94
russia	481
pakistan	74
portugal	406
myanmar	13
czech republic	438
slovenia	131
algeria	36
qatar	302
lebanon	35
saudi arabia	56
israel	691
turkey	211
jordan	62
united arab emirates	89
tunisia	66
morocco	50
new zealand	76
finland	344
romania	241
norway	276
bulgaria	236
croatia	134
sri lanka	44
argentina	69
mongolia	29
uruguay	23
ecuador	16
hungary	121
cuba	31
bangladesh	31
bahrain	8
nepal	11
slovakia	33
syria	6
cyprus	7
haiti	3
chad	8
nigeria	25
kazakhstan	17
malta	78
kenya	7
uzbekistan	1
south africa	81
palestinian territory	3
chile	24
jersey	19
macau	24
peru	25
armenia	4
malaysia	39
iraq	12
ethiopia	24
luxembourg	87
cape verde	14
mali	37
botswana	1
kuwait	7
macedonia	9
lithuania	28
moldova	26
ghana	4
paraguay	1
senegal	4
uganda	4
serbia	20
cameroon	2
namibia	1
togo	1
colombia	26
ukraine	8
afghanistan	2
zimbabwe	3
oman	3
azerbaijan	2
bosnia and herzegovina	1
niger	11
belarus	7
jamaica	1
burkina faso	2
gabon	2
mauritius	1
djibouti	1
saint martin	11
sudan	2
yemen	4
libya	1
mauritania	1
fiji	9
guadeloupe	3
panama	3
kosovo	1
north macedonia	1
brunei	1
guinea	2
guatemala	3
venezuela	1
reunion	2
greenland	1
rwanda	1
north korea	1
zambia	2
equatorial guinea	1
kyrgyzstan	1
anguilla	1
